0	0.001	0	0
1	0.001	0.007	0.001
2	0.001	0.001	0
3	0.001	0.001	0
4	0.001	0.001	0
5	0	0	0
6	0.001	0.001	0
7	0.001	0	0.001
8	0.002	0.001	0
9	0.002	0.001	0
10	0.001	0	0
11	0.002	0.001	0.001
12	0.002	0	0
13	0.002	0	0
14	0.002	0	0
15	0.003	0.001	0.001
16	0.003	0.001	0.001
17	0.004	0.001	0
18	0.004	0.001	0.001
19	0.005	0.001	0.001
20	0.005	0.001	0
21	0.005	0.001	0.001
22	0.006	0.001	0.001
23	0.007	0.001	0.001
24	0.007	0.001	0.001
25	0.008	0.001	0.001
26	0.008	0.001	0.001
27	0.009	0.001	0.001
28	0.01	0.001	0.001
29	0.01	0.001	0.001
30	0.011	0.001	0.001
31	0.012	0.001	0
32	0.012	0.001	0
33	0.013	0.001	0
34	0.036	0.002	0.001
35	0.015	0.001	0
36	0.015	0.002	0
37	0.016	0.001	0.001
38	0.017	0.002	0.001
39	0.018	0.001	0
40	0.019	0.002	0.001
41	0.019	0.001	0.001
42	0.02	0.001	0.001
43	0.021	0.001	0.001
44	0.022	0.002	0.001
45	0.023	0.001	0.001
46	0.024	0.001	0
47	0.025	0.002	0.001
48	0.026	0.001	0.001
49	0.027	0.002	0.001
50	0.028	0.002	0.001
51	0.029	0.002	0.001
52	0.031	0.001	0.001
53	0.032	0.002	0.001
54	0.049	0.002	0.001
55	0.034	0.001	0.001
56	0.035	0.002	0.001
57	0.035	0.001	0.001
58	0.037	0.002	0.001
59	0.039	0.002	0.001
60	0.039	0.001	0.001
61	0.04	0.002	0.001
62	0.042	0.002	0.001
63	0.043	0.002	0.001
64	0.045	0.002	0.005
65	0.055	0.001	0.001
66	0.047	0.002	0.001
67	0.063	0.002	0.001
68	0.049	0.002	0.002
69	0.05	0.001	0.001
70	0.052	0.002	0.001
71	0.053	0.002	0.001
72	0.054	0.002	0.001
73	0.056	0.002	0.001
74	0.058	0.002	0.001
75	0.059	0.002	0.001
76	0.06	0.002	0.002
77	0.061	0.039	0.002
78	0.063	0.002	0.001
79	0.065	0.002	0.002
80	0.067	0.002	0.002
81	0.068	0.002	0.001
82	0.07	0.002	0.001
83	0.072	0.002	0.001
84	0.081	0.002	0.002
85	0.073	0.002	0.001
86	0.085	0.003	0.001
87	0.076	0.002	0.001
88	0.078	0.002	0.002
89	0.08	0.002	0.002
90	0.081	0.002	0.002
91	0.083	0.002	0.002
92	0.084	0.002	0.001
93	0.116	0.003	0.002
94	0.088	0.002	0.002
95	0.09	0.003	0.001
96	0.092	0.002	0.002
97	0.094	0.002	0.002
98	0.108	0.003	0.002
99	0.122	0.003	0.002
